reaction_energy,activation_energy,surface,ab,a,b,reference,url,dataset
-3.25561,-3.25561,AgAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.2525,-3.2525,PdPb3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.24812,-3.24812,BiPd(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.24807,-3.24807,PtCd3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.23919,-3.23919,SnAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.22429,-3.22429,InAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.21488,-3.21488,SnPd(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.21445,-3.21445,ZnAu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.21125,-3.21125,AgCd3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.20818,-3.20818,ScAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.19175,-3.19175,SnPd3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.18807,-3.18807,InPd(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.17608,-3.17608,GaAg3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.17208,-3.17208,AgCd3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.15509,-3.15509,PbPd3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.15223,-3.15223,AuCd3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.14549,-3.14549,PdIn3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.1426,-3.1426,CuAu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.13456,-3.13456,ZnPd(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.1032,-3.1032,SbAg3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.10147,-3.10147,SbAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.07927,-3.07927,ZnAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.07031,-3.07031,SbAu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.06518,-3.06518,SnAg3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.05624,-3.05624,InPd(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.04801,-3.04801,PdAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.0426,-3.0426,AuIn3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.04051,-3.04051,PdZn3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.03807,-3.03807,SnAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.02883,-3.02883,AuCu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.01035,-3.01035,CuAg3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.01023,-3.01023,SnPt(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-3.00301,-3.00301,SnPt3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.98691,-2.98691,SbPd3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.97931,-2.97931,YAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.95628,-2.95628,SbCu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.95571,-2.95571,GaPd(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.95033,-2.95033,AlAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.94349,-2.94349,PdPb3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.93694,-2.93694,AuIn3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.90622,-2.90622,SbPd(211) AA,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.88394,-2.88394,AsAg3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.8748,-2.8748,BiAu3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.8701,-2.8701,SbRu(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.86431,-2.86431,PdSn3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.84713,-2.84713,GaAu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.82506,-2.82506,AgCu3(211) AB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.81529,-2.81529,RhCd3(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
-2.8105,-2.8105,BiPt(211) BB,C*,C (graphene),*,J. Catal. 293 (2012) 51-60,http://dx.doi.org/10.1016/j.jcat.2012.06.004,"SUNCAT alloys, DACAPO/RPBE"
